Upper middle income,UMC,"Borrowed for education or school fees, male (% age 15+) [w2]",WP14921.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26568,,
Upper middle income,UMC,"Borrowed for health or medical purposes, female (% age 15+) [w2]",WP14922.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.809754,,
Upper middle income,UMC,"Borrowed for health or medical purposes, male (% age 15+) [w2]",WP14922.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.911067,,
Upper middle income,UMC,"Borrowed from a financial institution, female (% age 15+) [ts]",WP_time_06.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.895167,,,9.319122,,
Upper middle income,UMC,"Borrowed from a financial institution, male (% age 15+) [ts]",WP_time_06.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8916,,,11.53406,,
Upper middle income,UMC,"Borrowed from a private informal lender, female (% age 15+) [ts]",WP_time_09.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.719206,,,2.179799,,
Upper middle income,UMC,"Borrowed from a private informal lender, male (% age 15+) [ts]",WP_time_09.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.590563,,,3.016321,,
Upper middle income,UMC,"Borrowed from a store by buying on credit, female (% age 15+) [w1]",WP11652.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.938988,,,,,
Upper middle income,UMC,"Borrowed from a store by buying on credit, female (% age 15+) [w2]",WP14918.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.212774,,
Upper middle income,UMC,"Borrowed from a store by buying on credit, male (% age 15+) [w1]",WP11652.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.579557,,,,,
Upper middle income,UMC,"Borrowed from a store by buying on credit, male (% age 15+) [w2]",WP14918.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.794323,,
Upper middle income,UMC,"Borrowed from an employer, female (% age 15+) [w1]",WP11654.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.451229,,,,,
Upper middle income,UMC,"Borrowed from an employer, male (% age 15+) [w1]",WP11654.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.658931,,,,,
Upper middle income,UMC,"Borrowed from family or friends, female (% age 15+) [ts]",WP_time_08.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.91881,,,23.14865,,
Upper middle income,UMC,"Borrowed from family or friends, male (% age 15+) [ts]",WP_time_08.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.23905,,,24.89964,,
Upper middle income,UMC,"Borrowed to start, operate, or expand a farm or business, female (% age 15+) [w2]",WP14923.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.527567,,
Upper middle income,UMC,"Borrowed to start, operate, or expand a farm or business, male (% age 15+) [w2]",WP14923.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.637422,,
